,random_array,algorithm,time_taken
370,52,partition_sort,0.0010058879852294922
371,53,qs1,0.0018041133880615234
372,53,qs2,0.0022089481353759766
373,53,qs3,0.0021169185638427734
374,53,qs4,0.0021538734436035156
375,53,qs5,0.0021779537200927734
376,53,merge1,0.002221822738647461
377,53,partition_sort,0.0010139942169189453
378,54,qs1,0.001870870590209961
379,54,qs2,0.002179861068725586
380,54,qs3,0.0023450851440429688
381,54,qs4,0.0022361278533935547
382,54,qs5,0.002206087112426758
383,54,merge1,0.0021598339080810547
384,54,partition_sort,0.0010051727294921875
385,55,qs1,0.0017809867858886719
386,55,qs2,0.0021440982818603516
387,55,qs3,0.002319812774658203
388,55,qs4,0.002154827117919922
389,55,qs5,0.002106904983520508
390,55,merge1,0.002187013626098633
391,55,partition_sort,0.0010211467742919922
392,56,qs1,0.001931905746459961
393,56,qs2,0.002277851104736328
394,56,qs3,0.0022132396697998047
395,56,qs4,0.002221822738647461
396,56,qs5,0.002198934555053711
397,56,merge1,0.002192974090576172
398,56,partition_sort,0.0010139942169189453
399,57,qs1,0.0018849372863769531
400,57,qs2,0.002302885055541992
401,57,qs3,0.0022771358489990234
402,57,qs4,0.0021572113037109375
403,57,qs5,0.002107858657836914
404,57,merge1,0.002167940139770508
405,57,partition_sort,0.0010101795196533203
406,58,qs1,0.0019469261169433594
407,58,qs2,0.002401113510131836
408,58,qs3,0.002234220504760742
409,58,qs4,0.002482175827026367
410,58,qs5,0.002274036407470703
411,58,merge1,0.002164125442504883
412,58,partition_sort,0.0010068416595458984
413,59,qs1,0.0017693042755126953
414,59,qs2,0.0021979808807373047
415,59,qs3,0.0022988319396972656
416,59,qs4,0.0022857189178466797
417,59,qs5,0.002109050750732422
418,59,merge1,0.0021829605102539062
419,59,partition_sort,0.0010068416595458984
420,60,qs1,0.0019040107727050781
421,60,qs2,0.002207040786743164
422,60,qs3,0.0022101402282714844
423,60,qs4,0.002201080322265625
424,60,qs5,0.0022132396697998047
425,60,merge1,0.002176046371459961
426,60,partition_sort,0.0010159015655517578
427,61,qs1,0.00185394287109375
428,61,qs2,0.002285003662109375
429,61,qs3,0.002238035202026367
430,61,qs4,0.0023980140686035156
431,61,qs5,0.002237081527709961
432,61,merge1,0.0021979808807373047
433,61,partition_sort,0.0010471343994140625
434,62,qs1,0.0017819404602050781
435,62,qs2,0.002187967300415039
436,62,qs3,0.0023250579833984375
437,62,qs4,0.0022416114807128906
438,62,qs5,0.0021839141845703125
439,62,merge1,0.0022530555725097656
440,62,partition_sort,0.0010077953338623047
441,63,qs1,0.001931905746459961
442,63,qs2,0.0022101402282714844
443,63,qs3,0.0024061203002929688
444,63,qs4,0.0023200511932373047
445,63,qs5,0.0021431446075439453
446,63,merge1,0.002222776412963867
447,63,partition_sort,0.0010101795196533203
448,64,qs1,0.0018470287322998047
449,64,qs2,0.002187013626098633
450,64,qs3,0.002315044403076172
451,64,qs4,0.0023839473724365234
452,64,qs5,0.002203702926635742
453,64,merge1,0.002279996871948242
454,64,partition_sort,0.0010039806365966797
455,65,qs1,0.0018727779388427734
456,65,qs2,0.002274036407470703
457,65,qs3,0.0022962093353271484
458,65,qs4,0.002077817916870117
459,65,qs5,0.0022242069244384766
460,65,merge1,0.0022101402282714844
461,65,partition_sort,0.0010600090026855469
462,66,qs1,0.0019459724426269531
463,66,qs2,0.002279996871948242
464,66,qs3,0.0022830963134765625
465,66,qs4,0.002331972122192383
466,66,qs5,0.002231121063232422
467,66,merge1,0.002166748046875
468,66,partition_sort,0.0010259151458740234
469,67,qs1,0.001878976821899414
470,67,qs2,0.0022687911987304688
471,67,qs3,0.0022428035736083984
472,67,qs4,0.0023298263549804688
473,67,qs5,0.0022482872009277344
474,67,merge1,0.0022110939025878906
475,67,partition_sort,0.0010080337524414062
476,68,qs1,0.0018661022186279297
477,68,qs2,0.002421140670776367
478,68,qs3,0.0022721290588378906
479,68,qs4,0.002135038375854492
480,68,qs5,0.0021681785583496094
481,68,merge1,0.0023527145385742188
482,68,partition_sort,0.0010061264038085938
483,69,qs1,0.0018968582153320312
484,69,qs2,0.0022161006927490234
485,69,qs3,0.0021448135375976562
